"run","baseline_total_loss","cull_total_loss","direct_cull_loss","net_loss_avoided","baseline_farms_affected","cull_farms_affected","baseline_farms_lost","cull_farms_lost","farms_culled"
342,113673.834011589,88124.913776107,71287.2816074795,25548.9202354818,113,87,113,87,71
343,136561.622378543,3081.92316468577,3081.92316468577,133479.699213858,136,3,136,3,3
344,113673.834011589,88144.5856624326,70461.7556707339,25529.2483491563,113,87,113,87,70
345,149846.797457096,25997.3441584708,23969.7725164426,123849.453298625,150,26,150,26,24
346,113673.834011589,2849.92772233428,2849.92772233428,110823.906289255,113,3,113,3,3
347,139545.676689967,5804.46157598487,3662.95886094165,133741.215113982,139,6,139,6,4
348,113673.834011589,2862.55079859911,2862.55079859911,110811.28321299,113,3,113,3,3
349,136561.622378543,2686.00313902934,2686.00313902934,133875.619239514,136,3,136,3,3
350,139545.676689967,94031.9197679254,77209.0670547589,45513.7569220418,139,93,139,93,76
351,149846.797457096,114712.555308964,84659.2254779966,35134.2421481316,150,114,150,114,85
352,149846.797457096,3125.19457527798,3125.19457527798,146721.602881818,150,3,150,3,3
353,149846.797457096,3108.93879995604,3108.93879995604,146737.85865714,150,3,150,3,3
354,113673.834011589,103899.210253914,81185.0934873957,9774.62375767465,113,103,113,103,80
355,136561.622378543,23764.1632695277,17438.2697796852,112797.459109016,136,24,136,24,18
356,119656.718912744,7833.88738918592,6810.89101763383,111822.831523558,119,8,119,8,7
357,139545.676689967,24748.2981362073,19393.7167131113,114797.37855376,139,25,139,25,20
358,113673.834011589,2818.2524778591,2818.2524778591,110855.58153373,113,3,113,3,3
359,136561.622378543,24271.9935067568,19590.781875397,112289.628871786,136,24,136,24,19
360,149846.797457096,33603.9298300121,26507.665651965,116242.867627084,150,34,150,34,27
361,113673.834011589,3129.40733927807,3129.40733927807,110544.426672311,113,3,113,3,3
362,146862.743145672,2710.36220058955,2710.36220058955,144152.380945082,147,3,147,3,3
363,113673.834011589,2777.93916856311,2777.93916856311,110895.894843026,113,3,113,3,3
364,113673.834011589,108935.481263588,84543.4607043907,4738.35274800069,113,108,113,108,84
365,123974.954778717,103068.916953708,82550.2552966712,20906.0378250092,124,102,124,102,82
